G1;34;26;26;23;22;21;21;20;20;19;19;18;18;18;18;18;17;17;17;17;17;16;16;16;16;16;16;15;15;14;14;14;14;13;13;12;12;12;10;10;10;10;9;9;9;8;8;7;7;3
G2;34;27;26;26;26;23;22;22;22;21;21;21;20;20;19;19;19;19;18;18;18;18;18;17;17;17;16;16;16;15;15;14;14;14;13;13;12;11;10;10;10;8;8;7;6;5;5;5;4;4
G3;36;34;27;27;26;26;26;23;23;23;22;22;22;22;21;21;21;21;21;20;20;20;19;19;19;19;18;18;18;18;18;17;17;17;17;14;14;13;13;13;11;10;9;9;8;8;5;3;3;3
G4;36;34;28;27;27;27;27;27;27;26;26;26;25;24;24;23;23;23;23;23;23;22;22;22;22;21;21;21;21;21;20;20;20;20;19;19;19;19;19;19;16;16;16;15;14;13;11;9;7;5
