G1;3.652779;3.512363;3.526892;3.517099;3.628416;3.601784;3.475953;3.500281;3.534955;3.621562;3.566196;3.598456;3.637686;3.474072;3.647933;3.555852;3.561201;3.584683;3.594087;3.588805;3.60757;3.604278;3.590469;3.590811;3.561235;3.552509;3.634141;3.467998;3.55688;3.596562;3.604839;3.585914;3.560589;3.601442;3.614005;3.59877;3.55283;3.595133;3.602201;3.589422;3.593665;3.577018;3.632283;3.609395;3.587703;3.575919;3.640032;3.598624;3.527434;3.601153;3.592731;3.578013;3.598659;3.617208;3.48524;3.630075;3.62447;3.556663;3.568542;3.569483;3.550953;3.587074;3.556235;3.626853;3.647376;3.596562;3.604803;3.541011;3.575953;3.625919;3.567582;3.64555;3.559756;3.57769;3.60449;3.538751;3.574905;3.48955;3.564623;3.562703;3.567871;3.651767;3.629786;3.587342;3.632335;3.54397;3.57783;3.66608;3.574059;3.637651;3.570437;3.614423;3.658852;3.627524;3.601967;3.631287;3.561926;3.587651;3.558348;3.568577
G2;3.606724;3.363461;3.538067;3.419119;3.601732;3.352001;3.456269;3.427778;3.33318;3.552541;3.458295;3.606575;3.637128;3.259735;3.541517;3.513079;3.434429;3.466371;3.495079;3.425972;3.50379;3.598604;3.471973;3.521086;3.618254;3.435731;3.524059;3.401316;3.397135;3.625212;3.560782;3.607772;3.554873;3.561777;3.580938;3.561167;3.362538;3.42096;3.5281;3.450789;3.524844;3.550789;3.556235;3.493019;3.520585;3.521765;3.601967;3.519718;3.568919;3.494991;3.537012;3.448334;3.480596;3.532369;3.225408;3.556121;3.580691;3.501835;3.478033;3.422697;3.508833;3.463751;3.428084;3.540286;3.664914;3.492871;3.585792;3.407515;3.479315;3.616048;3.420966;3.590628;3.414186;3.59287;3.554366;3.421455;3.528717;3.473334;3.4873;3.444208;3.503555;3.531248;3.615234;3.493054;3.549915;3.468779;3.393448;3.490937;3.410259;3.585189;3.402651;3.55249;3.563786;3.478555;3.553015;3.596651;3.515234;3.479026;3.491808;3.476765
G3;3.550846;3.256622;3.488865;3.355275;3.518779;3.33696;3.47357;3.391409;3.160318;3.384408;3.472376;3.496616;3.598947;3.263984;3.365961;3.469068;3.398561;3.278931;3.416483;3.372662;3.333835;3.499486;3.317794;3.586655;3.599268;3.328108;3.41961;3.392331;3.166248;3.638409;3.567548;3.483308;3.467595;3.51608;3.343704;3.501495;3.317459;3.375396;3.224924;3.448422;3.417259;3.562772;3.435912;3.356609;3.410006;3.379132;3.586132;3.405725;3.555361;3.49616;3.461616;3.333019;3.300621;3.430849;3.238871;3.591805;3.552576;3.435782;3.296726;3.362535;3.362651;3.454229;3.336201;3.499308;3.555529;3.383222;3.524584;3.366676;3.434883;3.504366;3.339599;3.466517;3.310805;3.589509;3.403551;3.426334;3.351547;3.194973;3.430021;3.391248;3.499851;3.341482;3.593071;3.317061;3.529369;3.326967;3.366969;3.594591;3.388986;3.567765;3.298763;3.47322;3.419353;3.471885;3.495785;3.49665;3.519154;3.340444;3.506321;3.458618
G4;3.462974;3.180594;3.384901;3.250516;3.496041;3.383669;3.471413;3.341282;3.094388;3.254227;3.305221;3.402416;3.539315;3.133109;3.303463;3.422012;3.185172;3.113716;3.282277;3.202214;3.186889;3.480202;3.135311;3.523656;3.599181;3.241261;3.395405;3.309832;3.192686;3.588514;3.531052;3.339579;3.462502;3.384322;3.245811;3.386708;3.198041;3.225648;3.170451;3.307262;3.341011;3.412991;3.444791;3.215811;3.198187;3.336618;3.563717;3.272208;3.422645;3.468054;3.360691;3.184795;3.266173;3.34826;3.084201;3.602307;3.448727;3.292799;3.202053;3.414274;3.188891;3.266567;3.281103;3.414274;3.454263;3.362395;3.419591;3.21133;3.378353;3.460965;3.279154;3.454584;3.401153;3.503589;3.306571;3.310895;3.411726;3.175449;3.38394;3.424618;3.40936;3.30693;3.509595;3.21814;3.388482;3.275333;3.400034;3.552018;3.306357;3.582047;3.223314;3.442905;3.379804;3.279871;3.47069;3.373281;3.516283;3.282002;3.371902;3.321323
G5;3.373349;3.050643;3.272576;3.137227;3.348504;3.383297;3.486996;3.274686;3.044332;3.177219;3.236923;3.359104;3.45256;3.082806;3.212049;3.203161;3.081679;2.955236;3.046073;3.150174;3.160322;3.352905;3.119973;3.466409;3.497588;3.128463;3.280161;3.151478;3.136724;3.510825;3.456646;3.268194;3.347645;3.356444;3.19316;3.263751;3.023912;3.016482;3.044855;3.29755;3.172335;3.30981;3.346905;3.128865;3.104167;3.316857;3.523859;3.2639;3.350447;3.267399;3.331825;2.826435;3.086366;3.271162;2.985409;3.606736;3.2873;3.287953;3.062262;3.258259;3.060968;3.175606;3.143807;3.300921;3.324609;3.184039;3.166099;3.151295;3.315938;3.421483;3.130757;3.342648;3.156514;3.283052;3.102507;3.150837;3.32535;2.88396;3.242765;3.378938;3.166909;3.019394;3.331824;3.022139;3.246276;3.205557;3.247173;3.407421;3.063445;3.533348;3.109896;3.375139;3.304952;3.221736;3.364152;3.19596;3.424775;3.018667;3.178047;3.249232
G6;3.303448;3.005598;3.291517;3.054038;3.337451;3.328954;3.437283;3.311036;3.014849;3.168347;3.101801;3.138118;3.366736;2.921082;3.241077;2.973272;2.824452;2.81972;2.946887;3.101906;3.120656;3.20534;3.099373;3.250643;3.434743;3.027403;3.299705;2.946752;3.229201;3.356641;3.325027;2.970301;3.076605;3.407347;2.926205;3.178336;2.926784;2.984222;2.949089;3.263101;3.04644;3.281558;3.134035;2.927942;2.974752;3.179679;3.443342;3.208781;3.36359;2.98602;3.261375;2.670058;3.040264;3.243194;2.936437;3.443071;3.116367;3.144538;2.899704;3.352094;2.97727;3.126334;3.135027;3.183362;3.104346;3.015871;3.188355;3.152583;3.20956;3.328118;3.015961;3.265555;3.024146;3.097121;3.068447;2.909832;3.152557;2.71628;3.087117;3.328912;2.99916;2.935296;3.263045;2.884455;3.11684;3.007572;3.068123;3.159371;2.903957;3.500107;2.958051;3.379209;3.302221;3.103342;3.306792;3.218979;3.313679;2.937297;3.245488;3.205937
G7;3.255036;3.022461;3.110895;2.879005;3.16993;3.286381;3.404205;3.200209;3.00218;3.133129;3.033503;3.029076;3.254786;2.935983;3.12543;2.882692;2.923517;2.88;2.613832;3.001459;2.888575;2.947388;3.024502;3.133867;3.249517;2.997298;3.248745;2.928992;3.003263;3.20202;3.224873;3.108922;2.94027;3.347287;2.724722;2.884638;3.036237;2.832026;2.870631;3.252757;2.85249;3.197356;2.928859;2.90174;2.914453;3.015808;3.496276;3.226495;3.130852;2.880413;3.322173;2.481097;3.066317;2.974273;2.872221;3.62467;3.095204;3.177306;2.864852;3.21088;2.807183;2.824416;3.016948;2.93524;3.2097;3.206786;2.853614;3.040214;3.112329;3.312769;2.857487;3.187554;2.875827;3.046571;3.00545;2.842767;3.132987;2.582762;3.080998;3.278538;2.958102;2.919746;3.149634;2.933016;3.13125;2.993934;2.963075;2.995576;2.813375;3.470671;2.847681;3.212498;3.245182;3.027401;3.123945;2.935746;3.275594;2.847354;3.039621;3.121631
G8;3.175591;2.805219;3.069155;2.895729;3.087651;3.127664;3.344999;3.018863;2.930798;3.043779;2.916734;2.930649;3.159913;2.809216;3.036162;2.746366;2.8595;2.774592;2.480152;2.844327;2.748796;2.782946;2.917686;2.988008;3.13978;2.849993;3.075258;2.865116;2.694953;3.08466;3.124701;3.061728;2.765892;3.296125;2.651889;2.746809;2.891055;2.844408;2.865797;3.25775;2.826224;3.24363;2.832078;2.795568;2.972313;2.963756;3.485678;3.085582;3.052684;2.92049;3.19343;2.526941;2.997662;2.904131;2.793995;3.619302;3.017642;3.156356;2.887309;3.018713;2.697515;2.735081;2.653118;2.671829;3.204638;3.099539;2.701089;2.890212;2.979658;3.191913;2.866134;3.086654;3.036849;2.953155;2.813943;2.811565;3.114326;2.521713;3.056051;3.310608;2.855402;2.64296;3.044791;2.922021;3.018913;2.975658;2.868019;2.996305;2.722404;3.185208;2.837386;3.228614;3.122059;2.837316;3.046396;3.011018;3.179752;2.634018;2.607401;3.014621
G9;3.086349;2.720643;3.069562;2.773658;3.092199;3.094746;3.3141;2.977692;2.97868;2.990356;2.806874;2.860266;3.174343;2.714446;2.792959;2.711071;2.833424;2.735794;2.381125;2.774722;2.660075;2.732149;2.857072;2.962337;3.100028;2.82975;3.006392;2.737842;2.513874;2.919063;3.007211;2.822316;2.539999;3.166111;2.554183;2.768778;2.783538;2.798142;2.894809;3.157444;2.884868;3.233941;2.926406;2.7939;2.90247;3.057007;3.47928;3.048583;3.036601;2.935419;3.10323;2.592038;3.051323;2.892293;2.75655;3.653825;2.886903;3.078245;2.615315;3.052524;2.815839;2.750929;2.767334;2.74551;3.087718;3.124827;2.676982;2.825221;2.880638;3.119516;2.683285;3.000408;2.933667;2.906099;2.695165;2.872141;3.155759;2.288521;2.888262;3.173944;2.773527;2.513193;2.986338;2.671039;2.901925;2.915972;2.816224;2.997371;2.885516;3.116317;2.817093;3.284227;2.81492;2.653733;2.891048;2.892221;2.990905;2.610604;2.408288;3.015102
G10;3.029926;2.625709;2.882275;2.841481;2.998069;2.998224;3.19359;2.900116;2.899788;2.922176;2.746451;2.678504;3.082334;2.622547;2.699597;2.641498;2.669055;2.537977;2.27557;2.614255;2.55545;2.684848;2.745038;2.792787;3.01196;2.726478;2.929828;2.727499;2.466452;2.949724;2.903994;2.803905;2.412164;3.091353;2.526261;2.712395;2.703178;2.757852;2.815871;3.159556;2.762376;3.266569;2.928545;2.646429;2.896943;3.041321;3.378975;2.900085;2.991769;2.857259;3.027182;2.659464;2.990116;2.843637;2.629223;3.630275;2.812158;3.016717;2.51595;2.870855;2.695788;2.681568;2.586145;2.602169;2.975099;3.076599;2.796088;2.809343;2.802292;2.994625;2.452649;2.758827;2.744466;2.671498;2.467084;2.650673;3.058418;2.195501;2.775081;3.012451;2.762078;2.413036;2.877445;2.729125;2.839659;2.81704;2.752122;2.889709;2.870507;3.001923;2.727096;3.205466;2.770455;2.647392;2.77826;2.907535;2.966381;2.617521;2.508828;2.990611
