G1;3.633784;3.605073;3.508469;3.591082;3.553015;3.619825;3.634343;3.642531;3.589134;3.472576;3.567006;3.593377;3.568342;3.631758;3.554698;3.672933;3.583637;3.603536;3.591719;3.636603;3.640994;3.608941;3.556558;3.493469;3.564362;3.640402;3.62435;3.486891;3.543088;3.573999;3.601261;3.61746;3.57563;3.581201;3.637363;3.563716;3.616099;3.588193;3.644591;3.604461;3.525609;3.609141;3.601121;3.590994;3.54653;3.632972;3.551695;3.658092;3.618542;3.591622;3.65339;3.62357;3.598536;3.673101;3.554132;3.634778;3.608295;3.538751;3.635966;3.602943;3.589711;3.655798;3.622461;3.588365;3.653415;3.60455;3.569153;3.566334;3.58642;3.603013;3.635846;3.538174;3.633295;3.466736;3.457186;3.617731;3.616011;3.555126;3.506863;3.612468;3.595148;3.536672;3.604261;3.528773;3.601642;3.583818;3.520785;3.476276;3.590288;3.588226;3.472664;3.618596;3.578215;3.592259;3.509664;3.510643;3.583032;3.639188;3.582483;3.659631
G2;3.587449;3.456121;3.426852;3.51218;3.521039;3.621076;3.55902;3.639946;3.450264;3.462142;3.409993;3.503267;3.415777;3.576442;3.499705;3.604027;3.567006;3.561777;3.557262;3.545079;3.588497;3.464746;3.528301;3.308092;3.46382;3.551276;3.468525;3.224523;3.478406;3.423238;3.49096;3.573336;3.524763;3.514832;3.536978;3.515757;3.510045;3.517819;3.59596;3.558023;3.52673;3.54837;3.488602;3.607972;3.488374;3.60139;3.551571;3.584918;3.612974;3.456845;3.549435;3.551495;3.512544;3.619268;3.470289;3.540182;3.583872;3.524522;3.5345;3.562376;3.316368;3.599818;3.574618;3.560965;3.597461;3.453827;3.409341;3.491196;3.47069;3.465522;3.588986;3.326678;3.592905;3.316717;3.315705;3.642208;3.549845;3.333108;3.368447;3.598676;3.51622;3.552743;3.532823;3.520837;3.499958;3.402468;3.475374;3.340811;3.540522;3.501153;3.324992;3.601495;3.434483;3.451241;3.460389;3.502961;3.515759;3.564186;3.50475;3.531444
G3;3.521919;3.279549;3.300133;3.533295;3.542348;3.598947;3.546467;3.519013;3.426784;3.430903;3.333021;3.375522;3.165813;3.423456;3.519914;3.363461;3.476529;3.643745;3.521887;3.497933;3.536508;3.419246;3.423943;3.090671;3.478865;3.313456;3.391986;3.01444;3.353449;3.254263;3.338497;3.340253;3.407893;3.525789;3.499797;3.355344;3.436347;3.445148;3.463374;3.556524;3.400805;3.469718;3.463187;3.491988;3.363295;3.474474;3.496039;3.37727;3.478665;3.423421;3.229166;3.344569;3.516334;3.48642;3.387573;3.440488;3.539222;3.454261;3.296362;3.484394;3.251767;3.557718;3.470777;3.548676;3.42543;3.380636;3.352165;3.414327;3.370314;3.393011;3.551295;3.199941;3.595777;3.215124;3.202571;3.499793;3.439037;3.125953;3.426495;3.56608;3.353899;3.491857;3.421431;3.476495;3.311052;3.391282;3.378415;3.228299;3.514797;3.415759;3.35742;3.559778;3.007814;3.299343;3.454892;3.429655;3.547227;3.553066;3.394896;3.359046
G4;3.459831;3.227989;3.26017;3.496413;3.363871;3.415415;3.518307;3.449395;3.50455;3.289511;3.208586;3.34128;2.959952;3.268901;3.552656;3.379061;3.400932;3.461977;3.438377;3.442784;3.479752;3.276846;3.4071;2.982813;3.443777;3.209359;3.305361;2.890153;3.311437;3.115049;3.250483;3.305964;3.337935;3.453954;3.5539;3.267255;3.399905;3.281788;3.425141;3.485068;3.220656;3.465161;3.405326;3.428751;3.24088;3.494703;3.510912;3.330636;3.393234;3.421667;3.203966;3.433529;3.489945;3.390777;3.394476;3.360316;3.460731;3.53546;3.151928;3.455849;3.027726;3.469321;3.38859;3.531173;3.106768;3.269683;3.277449;3.225064;3.289222;3.331866;3.377617;3.03058;3.441605;2.951274;3.219589;3.254278;3.365268;3.044438;3.359543;3.396362;3.308852;3.469332;3.323676;3.459578;3.231898;3.325088;3.437363;3.124053;3.470294;3.227122;3.357388;3.3889;2.976506;3.208308;3.315195;3.3141;3.357186;3.419676;3.288878;3.230899
G5;3.358222;3.169644;3.19876;3.412249;3.355576;3.320436;3.397444;3.37622;3.397751;3.211149;3.154108;3.177016;3.054242;3.090557;3.508295;3.251565;3.351241;3.52673;3.455598;3.423336;3.545133;3.079259;3.401894;2.672347;3.369661;3.199452;3.148727;2.77657;3.260746;3.031224;3.175918;3.179875;3.335878;3.438086;3.383529;3.27942;3.253644;3.171598;3.325845;3.437617;2.905556;3.28588;3.297316;3.201799;3.131842;3.440757;3.373859;3.305126;3.190555;3.359085;3.147589;3.37096;3.341736;3.319356;3.136219;3.204786;3.337502;3.380402;3.019855;3.272228;2.98139;3.276162;3.401023;3.526442;3.065164;3.14696;2.983249;3.235354;3.297967;3.307094;3.292705;2.863148;3.211403;2.828448;3.199827;3.191243;3.329711;3.115391;3.30851;3.235206;3.246218;3.330396;3.288095;3.324274;3.166134;3.212483;3.482186;3.121668;3.361691;3.152236;3.102375;3.201476;2.890576;3.212124;3.318579;3.220751;3.263502;3.430979;3.31894;3.183
G6;3.317408;3.230542;3.194878;3.334576;3.309138;3.258669;3.388534;3.389379;3.309932;3.202251;3.065234;3.150768;2.974959;3.123796;3.496416;3.246302;3.257386;3.466928;3.436041;3.370732;3.510878;3.12179;3.399799;2.604691;3.285083;3.296087;3.203193;2.733376;3.302925;3.07622;3.108201;3.11471;3.272522;3.408016;3.299201;3.182367;3.133981;3.256155;3.096655;3.415522;3.040759;3.199872;3.234394;3.1851;2.988243;3.410389;3.226153;3.243053;3.219672;3.14612;3.128118;3.345817;3.295892;3.232315;3.12707;3.070635;3.17157;3.365957;2.807368;3.263516;2.854568;3.15127;3.443234;3.359857;2.926642;3.057686;2.969782;3.078714;3.170718;3.239543;3.011922;2.653899;2.993786;2.657892;3.245436;3.040923;3.329274;3.047858;3.212862;3.183261;3.21238;3.265757;3.069802;3.137539;3.008182;3.035697;3.520367;2.940791;3.273708;3.004226;3.11671;3.240266;2.883671;3.079306;3.334594;3.196898;3.191717;3.436977;3.2503;3.192873
G7;3.167214;3.015773;3.014039;3.205652;3.221396;3.088966;3.080113;3.230889;3.04591;3.055107;2.824877;2.730107;2.827847;2.974846;3.378268;3.00346;3.128934;3.398422;3.349618;3.207081;3.460477;2.951685;3.35464;2.490661;3.203193;3.202654;3.120113;2.658328;3.241248;2.971087;3.015976;3.016753;3.136926;3.23145;3.169958;3.053118;3.12741;3.108;2.98943;3.313856;2.899504;3.056213;3.136394;3.037937;2.856678;3.274993;3.102014;3.1871;2.995289;3.004134;3.003015;3.248387;3.119911;3.147317;3.103043;2.8255;3.021503;3.231323;2.700393;3.179117;2.729106;3.122775;3.355036;3.198151;2.733009;2.774166;2.675458;2.881196;3.051153;3.015576;2.869791;2.507253;2.673872;2.478949;3.233342;2.793481;3.199524;2.89817;3.110871;2.948323;3.211488;3.068613;2.901731;2.702854;2.909316;2.978266;3.412683;2.978637;3.184793;2.826859;3.040049;3.116951;2.808017;3.018735;3.097173;2.910264;3.100028;3.324126;3.009141;3.147208
G8;3.18023;2.957651;2.966148;3.157247;3.059188;2.724811;2.938699;3.042882;2.860698;3.002995;2.645025;2.473868;2.800296;2.668951;3.232208;2.765728;2.917988;3.235476;3.246885;3.097705;3.292259;2.554461;3.143579;2.256191;2.977915;3.013391;2.918317;2.538412;3.128083;2.738592;2.754219;2.738135;3.111633;3.024935;3.001045;2.816216;3.019015;2.921267;2.742722;3.130361;2.536628;2.910196;2.88325;2.756263;2.373085;3.091526;2.918253;3.008817;2.84676;2.789693;2.672522;3.000918;2.864029;2.914195;2.998986;2.722677;2.67343;2.773613;2.322714;2.985389;2.512713;2.878844;3.09651;3.043396;2.563385;2.721752;2.642111;2.39095;2.823288;2.85729;2.660482;2.356924;2.588604;2.307151;3.175228;2.695943;2.935852;2.761522;3.0253;2.706911;3.023037;2.9843;2.906248;2.717251;2.859186;2.714432;3.281792;2.851439;3.002849;2.685507;2.97837;3.134071;2.579715;2.933626;3.033346;2.723452;3.028861;3.179461;2.781844;2.963204
G9;2.978624;2.840433;2.682203;2.96073;2.800861;2.543999;2.747522;2.823621;2.689267;2.891351;2.510656;2.435068;2.494904;2.436579;2.971118;2.569993;2.713251;2.961708;3.054784;2.855643;3.050883;2.347642;2.957107;2.105336;2.720567;2.793297;2.913964;2.315225;2.989029;2.635204;2.469238;2.57622;2.939387;2.855104;2.869765;2.56733;2.868712;2.697679;2.608095;2.934823;2.557516;2.667018;2.852658;2.629837;2.294237;3.04161;2.860028;2.872736;2.74542;2.607945;2.564473;2.865441;2.561852;2.722515;2.8161;2.552134;2.496615;2.707191;2.374143;2.683903;2.343035;2.853745;2.693411;2.741603;2.556282;2.370477;2.39127;2.167989;2.694692;2.786375;2.472836;2.060236;2.270386;2.075918;3.088549;2.391646;2.648298;2.738854;2.877819;2.619433;2.683969;2.838222;2.806153;2.527933;2.846355;2.427558;3.03472;2.583459;2.741284;2.275932;2.868317;2.96725;2.308256;2.982239;2.713925;2.498713;2.737186;2.953389;2.675298;2.764868
G10;2.960313;2.796178;2.632595;2.978048;2.815562;2.581879;2.701495;2.67281;2.613461;2.831383;2.392758;2.330428;2.454511;2.476082;2.965862;2.518832;2.624154;2.947591;3.025594;2.740605;2.978614;2.467726;2.909737;2.131683;2.71672;2.777672;2.857677;2.309698;2.948981;2.625715;2.300197;2.517432;2.891028;2.808294;2.803894;2.467664;2.776546;2.512623;2.598587;2.848142;2.551496;2.509857;2.741193;2.495977;2.251904;2.907763;2.685731;2.867218;2.633013;2.611846;2.459078;2.716672;2.499481;2.668194;2.707767;2.442948;2.542974;2.720415;2.203679;2.611222;2.376224;2.655779;2.614905;2.611515;2.471915;2.180301;2.342782;2.057307;2.56781;2.646523;2.478857;1.991291;2.113086;1.949635;2.977245;2.431839;2.79074;2.785454;2.817197;2.594115;2.547176;2.717341;2.806688;2.432323;2.620492;2.378897;2.882985;2.449048;2.593497;2.116388;2.679322;2.862253;2.244037;2.988707;2.777761;2.394442;2.746013;2.97089;2.652559;2.81799
